quality_setting,psnr_hvs_m,fsim,psnr,compression_ratio,source_file
8,46.69611042891049,0.9944562169379192,44.16930624516933,17.021232387507304,NORMAL2-IM-0132-0001.raw_metrics_results_adct.csv
7,47.8900284224363,0.995636103376175,44.73947972709162,14.922525189275346,NORMAL2-IM-0132-0001.raw_metrics_results_adct.csv
9,45.639209153049656,0.9929890688361032,43.6457020103733,19.169579524680078,NORMAL2-IM-0132-0001.raw_metrics_results_adct.csv
6,49.334029141215694,0.996925751739516,45.44444608206713,12.687251960120028,NORMAL2-IM-0132-0001.raw_metrics_results_adct.csv
11,43.82167304570369,0.9898575867785904,42.77557318874726,23.40153544009998,NORMAL2-IM-0132-0001.raw_metrics_results_adct.csv
10,44.62046348160392,0.9914083188772042,43.17974884620236,21.35070858446001,NORMAL2-IM-0132-0001.raw_metrics_results_adct.csv
14,41.83563377866578,0.9846029680512324,41.74946735831885,29.76879400408812,NORMAL2-IM-0132-0001.raw_metrics_results_adct.csv
15,41.23874135946214,0.9827454531762472,41.44768767485808,31.84837808285749,NORMAL2-IM-0132-0001.raw_metrics_results_adct.csv
16,40.64268796607938,0.9805146476219786,41.1380894139326,34.15557003257329,NORMAL2-IM-0132-0001.raw_metrics_results_adct.csv
12,43.055381013970106,0.9881260637676595,42.38876830303573,25.55507896276077,NORMAL2-IM-0132-0001.raw_metrics_results_adct.csv
17,40.172163311092895,0.9789174558638808,40.89205160291792,36.22274423103496,NORMAL2-IM-0132-0001.raw_metrics_results_adct.csv
13,42.38808262975436,0.9860842848882826,42.04264966046896,27.7371706697704,NORMAL2-IM-0132-0001.raw_metrics_results_adct.csv
22,38.10556378601221,0.970246564973316,39.74990077885506,47.42970870273204,NORMAL2-IM-0132-0001.raw_metrics_results_adct.csv
23,37.7656270413236,0.9684935184526324,39.559966250410255,49.78993352326685,NORMAL2-IM-0132-0001.raw_metrics_results_adct.csv
20,38.85706259585303,0.9742039904806116,40.17498652306819,42.953301654923806,NORMAL2-IM-0132-0001.raw_metrics_results_adct.csv
19,39.29412679044519,0.9752878545681428,40.41063370304049,40.60470879801735,NORMAL2-IM-0132-0001.raw_metrics_results_adct.csv
18,39.70305804907603,0.9769907131240094,40.63366827022425,38.47138244790138,NORMAL2-IM-0132-0001.raw_metrics_results_adct.csv
21,38.45744650906552,0.972754504539377,39.94925605517816,45.26748402693836,NORMAL2-IM-0132-0001.raw_metrics_results_adct.csv
24,37.42799888252457,0.966401823009365,39.36326379525165,52.1887318335656,NORMAL2-IM-0132-0001.raw_metrics_results_adct.csv
29,36.04368455844981,0.9590438117868182,38.571148064738864,63.07603464870068,NORMAL2-IM-0132-0001.raw_metrics_results_adct.csv
28,36.2730468876747,0.9599570104650738,38.70281597896852,60.9495466170658,NORMAL2-IM-0132-0001.raw_metrics_results_adct.csv
25,37.11239285187992,0.9648763371828236,39.18964450229254,54.39800788545342,NORMAL2-IM-0132-0001.raw_metrics_results_adct.csv
26,36.82858177790021,0.9632020965104124,39.02175823550777,56.60634852083784,NORMAL2-IM-0132-0001.raw_metrics_results_adct.csv
27,36.56070946816823,0.9623517958482016,38.86570972758101,58.81624411038816,NORMAL2-IM-0132-0001.raw_metrics_results_adct.csv
33,35.19323872725438,0.9535065636225863,38.042200348941726,71.60447965036875,NORMAL2-IM-0132-0001.raw_metrics_results_adct.csv
