,quality_setting,psnr_hvs_m,fsim,psnr,compression_ratio,source_file
259,8,50.56402028406615,0.9992408098599156,43.864657881921374,7.203935255159526,p33-512.raw_metrics_results_adct.csv
260,11,46.57129137206272,0.99878739247435,41.65220552306536,8.923139764449589,p33-512.raw_metrics_results_adct.csv
261,7,52.04990757594945,0.9993660222995984,44.77526634559396,6.634373497329992,p33-512.raw_metrics_results_adct.csv
262,6,54.06510196387708,0.9994846440440256,45.849411659393546,6.04046269413337,p33-512.raw_metrics_results_adct.csv
263,9,48.99608213647785,0.999095906622546,43.03691753328064,7.775062284968561,p33-512.raw_metrics_results_adct.csv
264,10,47.73598622772685,0.9989652507645108,42.315790268034206,8.353855959209687,p33-512.raw_metrics_results_adct.csv
265,16,41.98802505097167,0.9977131858886704,39.058362443698925,11.8547460769683,p33-512.raw_metrics_results_adct.csv
266,13,44.52701291410402,0.9984190563740234,40.4835926750777,10.08362503365773,p33-512.raw_metrics_results_adct.csv
267,17,41.31374775854763,0.997458642769906,38.65586216569208,12.44039483675019,p33-512.raw_metrics_results_adct.csv
268,15,42.78714095193852,0.9979772970931654,39.50651496097249,11.247436392500108,p33-512.raw_metrics_results_adct.csv
269,12,45.50187320553298,0.9986050565550844,41.04096948529511,9.503135762189595,p33-512.raw_metrics_results_adct.csv
270,14,43.7082084535532,0.9982210016688144,39.98876695369568,10.6514972979562,p33-512.raw_metrics_results_adct.csv
271,18,40.64121887782435,0.997208413860714,38.28846133712,13.014794955813722,p33-512.raw_metrics_results_adct.csv
272,22,38.38827779350808,0.995810810329528,36.97944674439505,15.417514556254778,p33-512.raw_metrics_results_adct.csv
273,21,38.85966091443217,0.9961862854651414,37.27409123142475,14.826310729031164,p33-512.raw_metrics_results_adct.csv
274,23,37.86726642165429,0.995347158447036,36.6886552714831,16.05192578531627,p33-512.raw_metrics_results_adct.csv
275,19,40.02677759507471,0.996909698845362,37.94109916388096,13.606560780649849,p33-512.raw_metrics_results_adct.csv
276,20,39.42454382984964,0.9965987216843774,37.59418680940111,14.229942460102052,p33-512.raw_metrics_results_adct.csv
277,28,35.666744078640185,0.9930271286346618,35.42098680396775,19.269626580417523,p33-512.raw_metrics_results_adct.csv
278,24,37.40141285008149,0.9949262355261116,36.4182823950874,16.689628827911122,p33-512.raw_metrics_results_adct.csv
279,25,36.98585953267066,0.9946228749931668,36.16584262311974,17.321527686005023,p33-512.raw_metrics_results_adct.csv
280,29,35.348653983459776,0.992521347613148,35.224599271716,19.885003413487063,p33-512.raw_metrics_results_adct.csv
281,26,36.4874436319368,0.994108550324636,35.915068103553274,17.930506155950752,p33-512.raw_metrics_results_adct.csv
282,27,36.097924330126,0.9936541977113502,35.66414654384971,18.58650028360749,p33-512.raw_metrics_results_adct.csv
283,33,34.10869785706397,0.9903242126788098,34.489229729736685,22.41696596545237,p33-512.raw_metrics_results_adct.csv
284,30,35.03500271358115,0.992016991355218,35.032271319615354,20.54903190405268,p33-512.raw_metrics_results_adct.csv
285,35,33.494624657946936,0.9889816799121216,34.1207568925626,23.75353388909025,p33-512.raw_metrics_results_adct.csv
286,34,33.826438589646926,0.9896643904852176,34.31248097051917,23.043600562587905,p33-512.raw_metrics_results_adct.csv
287,31,34.71111027588008,0.9916300088773594,34.844245105277935,21.142350189531413,p33-512.raw_metrics_results_adct.csv
288,32,34.39621038167299,0.9910600203800564,34.6489484133293,21.78180307436643,p33-512.raw_metrics_results_adct.csv
289,40,32.2478100631853,0.9853959681510328,33.36246694362808,27.145490317904112,p33-512.raw_metrics_results_adct.csv
290,38,32.741187888499546,0.9867450378716796,33.64815938912318,25.77873930573311,p33-512.raw_metrics_results_adct.csv
291,37,33.00293005038124,0.9874025533147556,33.804640358888875,25.10236522072201,p33-512.raw_metrics_results_adct.csv
292,36,33.2512872829179,0.9881119393421371,33.960329398596855,24.46057665391434,p33-512.raw_metrics_results_adct.csv
293,41,32.01058175290076,0.9844449493956104,33.22272411809096,27.766550153585424,p33-512.raw_metrics_results_adct.csv
294,39,32.489814321138695,0.9863468151892796,33.50390367455684,26.44446686169676,p33-512.raw_metrics_results_adct.csv
295,42,31.748458285170784,0.9836862545249228,33.072842319746016,28.41669376693767,p33-512.raw_metrics_results_adct.csv
296,9,47.95082209104347,0.99885810531095,43.74185256739351,10.325101421875615,p46-512.raw_metrics_results_adct.csv
297,10,46.66179943618465,0.9986365231166762,43.06922931096463,11.16361468358743,p46-512.raw_metrics_results_adct.csv
298,6,52.79518800238506,0.9993800763458816,46.404254069878455,7.754821914566324,p46-512.raw_metrics_results_adct.csv
299,8,49.26862248325388,0.9990531086617076,44.50947326165566,9.480795660036168,p46-512.raw_metrics_results_adct.csv
300,7,51.00518801236299,0.9992309517784802,45.40507833944812,8.617205220078235,p46-512.raw_metrics_results_adct.csv
301,11,45.62100595757408,0.9983906013082532,42.455462184396666,12.027160946962743,p46-512.raw_metrics_results_adct.csv
302,15,42.10797828262855,0.997088993461426,40.49676704367563,15.548279952550416,p46-512.raw_metrics_results_adct.csv
303,17,40.74133486005054,0.9962813601622172,39.75345232964082,17.28953963857011,p46-512.raw_metrics_results_adct.csv
304,16,41.32637167838338,0.996672668531718,40.10133277403865,16.4353605015674,p46-512.raw_metrics_results_adct.csv
305,14,42.858121103255954,0.9974275691449016,40.92038065756215,14.658838002572276,p46-512.raw_metrics_results_adct.csv
306,12,44.53265181397951,0.9980845152410068,41.89849531255774,12.88683511945728,p46-512.raw_metrics_results_adct.csv
307,13,43.67344285125498,0.9978208355180924,41.3876495055682,13.76517538332283,p46-512.raw_metrics_results_adct.csv
308,19,39.58050863225472,0.9953409763740778,39.1046714438554,18.95062531627268,p46-512.raw_metrics_results_adct.csv
309,23,37.66508427708815,0.9933077892167596,37.9840186491874,22.48811872694518,p46-512.raw_metrics_results_adct.csv
310,22,38.13530207654659,0.9938061637450968,38.24843433813018,21.58096649378448,p46-512.raw_metrics_results_adct.csv
311,20,39.06181310807614,0.994844305130026,38.79977203806257,19.82485063903804,p46-512.raw_metrics_results_adct.csv
312,21,38.60500339254797,0.994487792250545,38.51888296068048,20.690134175217047,p46-512.raw_metrics_results_adct.csv
313,18,40.17407674026142,0.9958595367950376,39.42370783335952,18.11763079687608,p46-512.raw_metrics_results_adct.csv
314,24,37.24441907253012,0.992669231611181,37.735276455126346,23.363992869875226,p46-512.raw_metrics_results_adct.csv
315,25,36.86571836923776,0.99201355401845,37.50106997629749,24.268098500277727,p46-512.raw_metrics_results_adct.csv
316,29,35.47052299289578,0.9900984407501288,36.67327848828512,27.80778614617588,p46-512.raw_metrics_results_adct.csv
317,26,36.4870397042754,0.9916099679217586,37.2931882595815,25.099961700497893,p46-512.raw_metrics_results_adct.csv
318,27,36.14039969565952,0.9912033205291436,37.07921148884101,26.037346046881208,p46-512.raw_metrics_results_adct.csv
319,28,35.80774152595311,0.9905833318382444,36.87935703613202,26.914168377823408,p46-512.raw_metrics_results_adct.csv
320,33,34.28249609045595,0.9869017717527852,35.91202851857568,31.51147974516168,p46-512.raw_metrics_results_adct.csv
321,30,35.18459702334942,0.989443515089733,36.487044026485286,28.680962800875275,p46-512.raw_metrics_results_adct.csv
322,35,33.823596714994835,0.9859438184195788,35.622112523235046,33.233265720081135,p46-512.raw_metrics_results_adct.csv
323,34,34.03718526104288,0.9864610132676316,35.75451429813588,32.439549560697934,p46-512.raw_metrics_results_adct.csv
324,31,34.90116293735208,0.9883375280466784,36.304703312188245,29.637535330695307,p46-512.raw_metrics_results_adct.csv
325,32,34.541810946304274,0.9875867950308987,36.08394775865948,30.64577975216273,p46-512.raw_metrics_results_adct.csv
326,40,32.681013925052234,0.9831376948913324,34.88910623040532,37.86019641825534,p46-512.raw_metrics_results_adct.csv
327,36,33.575207723117245,0.985148117537046,35.470872050151144,34.1466718770353,p46-512.raw_metrics_results_adct.csv
328,37,33.35090820812975,0.9849354607895702,35.32259589233643,35.013222919727525,p46-512.raw_metrics_results_adct.csv
329,39,32.875961265224575,0.9837161611598964,35.02190136016348,36.99463731301157,p46-512.raw_metrics_results_adct.csv
330,41,32.503407959442974,0.9821850115368744,34.75907822688163,38.80740192450037,p46-512.raw_metrics_results_adct.csv
331,38,33.05947649941069,0.984359986194594,35.14628708153988,36.06328243224653,p46-512.raw_metrics_results_adct.csv
332,42,32.32059128997668,0.9816101248208832,34.63875437853871,39.70074208693018,p46-512.raw_metrics_results_adct.csv
333,10,47.44381716541605,0.9988385241315688,42.65208667114293,9.384742061361116,p59-512.raw_metrics_results_adct.csv
334,7,51.85435938953583,0.999300071754201,45.10062736403566,7.354299340720999,p59-512.raw_metrics_results_adct.csv
335,8,50.15189887058287,0.999170262915982,44.189996724870525,8.017862058418718,p59-512.raw_metrics_results_adct.csv
336,9,48.80181057302457,0.9990050599195088,43.36811486890157,8.71402453212778,p59-512.raw_metrics_results_adct.csv
337,11,46.320142262907794,0.9986196869307742,42.00316061753288,10.043446611240949,p59-512.raw_metrics_results_adct.csv
338,6,53.664773051683454,0.9994417126336418,46.1308583940969,6.679338548169286,p59-512.raw_metrics_results_adct.csv
339,15,42.56029640014426,0.9976355644235512,39.93446922439801,12.75267561782448,p59-512.raw_metrics_results_adct.csv
340,13,44.25968651988296,0.9981845411933272,40.87443504139876,11.395088024342536,p59-512.raw_metrics_results_adct.csv
341,14,43.41887723918627,0.9979063819465598,40.39076523987511,12.092628471261186,p59-512.raw_metrics_results_adct.csv
342,12,45.24224135502634,0.998433449984767,41.43179054362583,10.699755102040816,p59-512.raw_metrics_results_adct.csv
343,17,41.149389220764014,0.997049495248656,39.121074062343936,14.11501184578936,p59-512.raw_metrics_results_adct.csv
344,16,41.81476093718261,0.9973264972059898,39.50886932485753,13.439146929150006,p59-512.raw_metrics_results_adct.csv
345,18,40.51840167535092,0.9967167179610265,38.74447261838014,14.816255016108066,p59-512.raw_metrics_results_adct.csv
346,22,38.22044320355729,0.9951746372273856,37.44054330754907,17.655172413793103,p59-512.raw_metrics_results_adct.csv
347,23,37.73636385270876,0.99458754781771,37.15802583242996,18.36900007007217,p59-512.raw_metrics_results_adct.csv
348,21,38.73625309081124,0.9956424710370314,37.73823891499638,16.926712726803125,p59-512.raw_metrics_results_adct.csv
349,20,39.23519152096573,0.996025631373819,38.03446436453319,16.22981674096087,p59-512.raw_metrics_results_adct.csv
350,19,39.828867105202015,0.9963754607370704,38.37876483189661,15.527098264526447,p59-512.raw_metrics_results_adct.csv
351,28,35.703314842315514,0.9917710417069888,35.964407491953835,22.067850829194377,p59-512.raw_metrics_results_adct.csv
352,29,35.31014261015063,0.9909932809385444,35.7494101362364,22.81894150417828,p59-512.raw_metrics_results_adct.csv
353,26,36.497085552185325,0.9929670550426908,36.42332787256748,20.57483713994192,p59-512.raw_metrics_results_adct.csv
354,25,36.87487619083415,0.9935191647759486,36.65457714729556,19.81735712125794,p59-512.raw_metrics_results_adct.csv
355,24,37.27456011009697,0.9939960851600352,36.88573658450358,19.10531302383208,p59-512.raw_metrics_results_adct.csv
356,27,36.10143305995305,0.9922184415203892,36.19232662183699,21.314253191316368,p59-512.raw_metrics_results_adct.csv
357,34,33.69820824847254,0.9876896399513732,34.78206302323787,26.82877904001637,p59-512.raw_metrics_results_adct.csv
358,30,34.9345104747218,0.9905026946869654,35.535490839479586,23.5719809369661,p59-512.raw_metrics_results_adct.csv
359,35,33.43494815338285,0.98696082194009,34.633312371017446,27.553500105108263,p59-512.raw_metrics_results_adct.csv
360,33,33.97827333575513,0.98822610592165,34.956690609721974,26.016673283048828,p59-512.raw_metrics_results_adct.csv
361,31,34.6174886187464,0.989729459296469,35.33027322858175,24.403649227331968,p59-512.raw_metrics_results_adct.csv
362,32,34.27785305634346,0.9890831762809976,35.12792372849112,25.24013094550356,p59-512.raw_metrics_results_adct.csv
363,36,33.18326850563767,0.9864283989698382,34.48073929060425,28.29095618389812,p59-512.raw_metrics_results_adct.csv
364,39,32.35960680991041,0.9841686359869132,33.99712069741878,30.79699248120301,p59-512.raw_metrics_results_adct.csv
365,40,32.15881219969836,0.9837524361470028,33.862461193127906,31.621712907117008,p59-512.raw_metrics_results_adct.csv
366,38,32.62399701282446,0.98483297851532,34.15394962506522,29.94904604135725,p59-512.raw_metrics_results_adct.csv
367,37,32.90069935466993,0.9857825316892324,34.316411009078145,29.09801309801309,p59-512.raw_metrics_results_adct.csv
368,41,31.931458471549888,0.9829520096792438,33.725945682848874,32.439549560697934,p59-512.raw_metrics_results_adct.csv
369,42,31.69804504489844,0.981551691698536,33.57791266969469,33.34316967692699,p59-512.raw_metrics_results_adct.csv
370,9,48.36875738381485,0.9989925510397808,43.44399203735581,9.163631279057574,p35-512.raw_metrics_results_adct.csv
371,8,49.84925360578303,0.9991492794818196,44.25380597449487,8.421756031740932,p35-512.raw_metrics_results_adct.csv
372,7,51.41912545039616,0.999307038177476,45.1605646709404,7.710117647058824,p35-512.raw_metrics_results_adct.csv
373,11,45.91556385322501,0.9985824056070864,42.08691091495668,10.629039451810405,p35-512.raw_metrics_results_adct.csv
374,6,53.290614439940526,0.9994439053826086,46.1980460414733,6.97339859544584,p35-512.raw_metrics_results_adct.csv
